uid,retailer,name,path,level,items,is_leaf,in_scope,coreness
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags",Staples,Luggage & Duffel Bags,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags",3,1001.0,False,True,0.5772222222222222
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Sport & Duffel Bags",Staples,Sport & Duffel Bags,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Sport & Duffel Bags",4,120.0,True,True,0.5588869565217391
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Suitcases & Luggage Sets",Staples,Suitcases & Luggage Sets,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Suitcases & Luggage Sets",4,881.0,True,True,0.5916521739130435
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories",Staples,Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories",3,383.0,False,True,0.5569444444444444
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers",Staples,"Luggage Tags, Locks & Covers","Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers",4,83.0,True,True,0.5486608695652173
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories",Staples,Personal Travel Accessories,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories",4,152.0,True,True,0.5645217391304348
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches",Staples,"Toiletry Bags, Packing Cubes & Travel Pouches","Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches",4,148.0,True,True,0.5636869565217391
"Staples::Bags, Backpacks & Luggage > Totes & Handbags",Staples,Totes & Handbags,"Bags, Backpacks & Luggage > Totes & Handbags",2,577.0,False,True,0.5262992125984252
"Staples::Bags, Backpacks & Luggage > Totes & Handbags > Lunch Bags & Boxes",Staples,Lunch Bags & Boxes,"Bags, Backpacks & Luggage > Totes & Handbags > Lunch Bags & Boxes",3,404.0,True,True,0.5586111111111111
Staples::Batteries & Power,Staples,Batteries & Power,Batteries & Power,1,1441.0,False,True,0.5061538461538461
Staples::Batteries & Power > Battery Shop,Staples,Battery Shop,Batteries & Power > Battery Shop,2,354.0,False,True,0.5890288713910761
Staples::Batteries & Power > Battery Shop > Camera & Camcorder Batteries & Chargers,Staples,Camera & Camcorder Batteries & Chargers,Batteries & Power > Battery Shop > Camera & Camcorder Batteries & Chargers,3,6.0,True,True,0.4580787037037036
Staples::Batteries & Power > Battery Shop > Cell Phone Batteries,Staples,Cell Phone Batteries,Batteries & Power > Battery Shop > Cell Phone Batteries,3,354.0,True,True,0.6471759259259259
Staples::Batteries & Power > Battery Shop > Computer & Laptop Batteries,Staples,Computer & Laptop Batteries,Batteries & Power > Battery Shop > Computer & Laptop Batteries,3,236.0,True,True,0.6353472222222222
Staples::Batteries & Power > Battery Shop > Cordless Phone Batteries,Staples,Cordless Phone Batteries,Batteries & Power > Battery Shop > Cordless Phone Batteries,3,13.0,True,True,0.48513888888888884
Staples::Batteries & Power > Battery Shop > General Purpose Batteries,Staples,General Purpose Batteries,Batteries & Power > Battery Shop > General Purpose Batteries,3,81.0,True,True,0.5786342592592593
Staples::Batteries & Power > Battery Shop > Hearing Aid Batteries,Staples,Hearing Aid Batteries,Batteries & Power > Battery Shop > Hearing Aid Batteries,3,3.0,True,True,0.44122685185185184
Staples::Batteries & Power > Battery Shop > Specialty Batteries,Staples,Specialty Batteries,Batteries & Power > Battery Shop > Specialty Batteries,3,15.0,True,True,0.4929166666666666
Staples::Batteries & Power > Power Management,Staples,Power Management,Batteries & Power > Power Management,2,1087.0,False,True,0.6470866141732283
Staples::Batteries & Power > Power Management > Battery Backup & UPS,Staples,Battery Backup & UPS,Batteries & Power > Power Management > Battery Backup & UPS,3,406.0,True,True,0.652037037037037
Staples::Batteries & Power > Power Management > Extension Cords,Staples,Extension Cords,Batteries & Power > Power Management > Extension Cords,3,119.0,True,True,0.595648148148148
Staples::Batteries & Power > Power Management > Power Distribution Units,Staples,Power Distribution Units,Batteries & Power > Power Management > Power Distribution Units,3,78.0,True,True,0.5760416666666666
Staples::Batteries & Power > Power Management > Power Inverters,Staples,Power Inverters,Batteries & Power > Power Management > Power Inverters,3,15.0,True,True,0.4929166666666666
Staples::Batteries & Power > Power Management > Surge Protectors & Power Strips,Staples,Surge Protectors & Power Strips,Batteries & Power > Power Management > Surge Protectors & Power Strips,3,443.0,True,True,0.6543055555555555
Staples::Batteries & Power > Power Management > UPS Accessories,Staples,UPS Accessories,Batteries & Power > Power Management > UPS Accessories,3,26.0,True,True,0.5199768518518518
Staples::Cleaning Supplies,Staples,Cleaning Supplies,Cleaning Supplies,1,5865.0,False,True,0.8076923076923076
Staples::Cleaning Supplies > Chemical Sterilization Equipment,Staples,Chemical Sterilization Equipment,Cleaning Supplies > Chemical Sterilization Equipment,2,5865.0,True,True,0.887244094488189
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes,Staples,Cleaning Chemicals & Wipes,Cleaning Supplies > Cleaning Chemicals & Wipes,2,1490.0,False,True,0.8584251968503938
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Air Fresheners & Deodorizers,Staples,Air Fresheners & Deodorizers,Cleaning Supplies > Cleaning Chemicals & Wipes > Air Fresheners & Deodorizers,3,368.0,True,True,0.8329166666666666
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,Staples,Carpet Care,Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,3,30.0,True,True,0.6785416666666667
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,Staples,Cleaning Chemicals,Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,3,671.0,True,True,0.8564583333333333
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals,Staples,Dilution Control Systems & Chemicals,Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals,3,109.0,False,True,0.7604166666666667
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control Chemicals,Staples,Dilution Control Chemicals,Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control Chemicals,4,104.0,True,True,0.8342608695652174
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control System & Accessories,Staples,Dilution Control System & Accessories,Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control System & Accessories,4,5.0,True,True,0.638295652173913
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Disinfectant Wipes,Staples,Disinfectant Wipes,Cleaning Supplies > Cleaning Chemicals & Wipes > Disinfectant Wipes,3,142.0,True,True,0.7791666666666667
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Hard Floor Care,Staples,Hard Floor Care,Cleaning Supplies > Cleaning Chemicals & Wipes > Hard Floor Care,3,132.0,True,True,0.7733333333333333
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Urinal Screens,Staples,Urinal Screens,Cleaning Supplies > Cleaning Chemicals & Wipes > Urinal Screens,3,38.0,True,True,0.6908333333333334
Staples::Cleaning Supplies > Cleaning Tools,Staples,Cleaning Tools,Cleaning Supplies > Cleaning Tools,2,968.0,False,True,0.8272440944881889
Staples::Cleaning Supplies > Cleaning Tools > Cleaning Brushes & Toilet Plungers,Staples,Cleaning Brushes & Toilet Plungers,Cleaning Supplies > Cleaning Tools > Cleaning Brushes & Toilet Plungers,3,65.0,True,True,0.7308333333333333
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories",Staples,"Cleaning Carts, Caddies & Accessories","Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories",3,37.0,False,True,0.68875
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories > Cleaning Caddies",Staples,Cleaning Caddies,"Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories > Cleaning Caddies",4,9.0,True,True,0.6705391304347826
