source,target,rel,weight
Staples::Audio > Portable Audio > Voice Recorders,OfficeDepot::Electronics > Audio > Home Audio > Voice Recorders,SAME_AS,0.86
"Staples::Bags, Backpacks & Luggage","Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage","Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage","Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage","Staples::Bags, Backpacks & Luggage > Totes & Handbags",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage",OfficeDepot::Office Supplies > Bags & Luggage,SAME_AS,0.5706
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags","Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags","Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags","Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags","Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",CHILD_OF,1.0
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags",OfficeDepot::Office Supplies > Bags & Luggage > Laptop Bags & Cases,SAME_AS,0.5965
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",OfficeDepot::Office Supplies > Bags & Luggage > Backpacks,SAME_AS,0.7649
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",OfficeDepot::Office Supplies > Bags & Luggage > Laptop Bags & Cases,SAME_AS,0.5965
