L1,L2,L3,L4,Final level Category,product_id,product_name
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658291,"Mount-It! 360° Rotating Pegboard and Document Organizer with Accessories for Desks, Black (MI-7301BLK)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24598108,"Mount-It! 2""H x 21""W Under-Desk Drawer, Black (MI-7294BLK)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24658293,"Mount-It! Clamp-On Pegboard Organizer with Accessories for Desks, Black (MI-7302BLK)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24425105,"Mount-lt! Steel Under the Desk Mounting Component, Matte Black (MI-7290)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24609561,"Purely E5720 Ergonomic Arm/Elbow Support Rest for Desk, Computer Desk Arm Extender, Black (PARE5720)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,1928887,"OfficeSource Center Drawer 1-Drawer Desktop Storage, Black (CDR1BLK)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24425122,"Mount-It! Plastic  Under Desk Organizer, Black (MI-7292)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24056262,"Mount-It! Manual Crank Standing Desk Frame, Black (MI-7931)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,1023379,"Offices To Go 6.5"" Wide Handle, Black, 1""H x 6 1/2""W x 1""D"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24425111,"Mount-lt! Steel Under the Desk Mounting Component,  7.4""H x 20.2""W, Matte Black (MI-7291)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24418401,"Offices To Go Superior 16"" Pedestal Top Desk, Artisan Gray (TDSL22TOPAGL)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2637918,"Offices To Go Superior Laminate ""D"" Island - Full end Panel + Post (T-Base), Autumn Walnut Laminate"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24148279,"Mount-It! 48""W Desk Table Top For Standing Desks, White  (MI-7935)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24145609,"Uncaged Ergonomics Rise Up 3-stage Dual Motor Electric Standing Desk Frame, White, Desktop Not Included (RUW)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24418405,"Offices To Go Superior 71"" Full End Panel Desk, Artisan Gray (TDSL7136DI-AGL)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24299685,"Monoprice 4' Table Top for Sit-Stand Height Adjustable Desk, White (121602)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24418388,"Offices To Go Superior 48"" Flush Bridge Desk, Artisan Gray (TDSL4824FBAGL)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,1025866,"Offices To Go 20"" Wide Center Drawer, American Espresso, 4""H x 20""W x 20 1/4""L"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2508791,"Uncaged Ergonomics Rise Up 3-stage Dual Motor Electric Standing Desk Frame, Black, Desktop Not Included (RUB)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24299686,"Monoprice 6' Table Top for Sit-Stand Height Adjustable Desk, Black (121605)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24299683,"Monoprice 5' Table Top for Sit-Stand Height Adjustable Desk, White (121604)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24299684,"Monoprice 4' Table Top for Sit-Stand Height Adjustable Desk, Black (121601)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24493332,"HON Mod 15"" Hanging Pedestal, Slate Teak (HLPLPHBF.LSL1)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,1023380,"Offices To Go 3"" Wide Handle, Silver, 1""H x 3""W x 1""D"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24484737,"HON Mod 36"" Return Shell, Sepia Walnut (HLPLRS3624.LSE1)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,806153,"Offices To Go Furniture Collection in American Dark Cherry, Reception Return"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24425127,"Mount-It! 1""H x 6""W Drawer Organizer, Black (MI-7144)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2596443,"HON Metro Classic Left Return, 42"" x 24"" x 29.5"", Mocha/Black (HONP3236LMOP)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24637506,"Bush Business Furniture Hustle 17""H x 58""W Tackboard for 60"" Cubicle Desk, Warm Beige (HUP158WB-03)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24637503,"Bush Business Furniture Hustle 17""H x 58""W Tackboard for 60"" Cubicle Desk, Cool Charcoal (HUP158CL-03)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24637505,"Bush Business Furniture Hustle 17""H x 46""W Tackboard for 48"" Cubicle Desk, Warm Beige (HUP146WB-03)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24578059,Tech Help Plus
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24598108,"Mount-It! 2""H x 21""W Under-Desk Drawer, Black (MI-7294BLK)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24466080,"HON Mod 15"" Pedestal, Traditional Mahogany (HLPLPSBBF.LTM1)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24484675,"HON Mod 36"" Return Shell, Traditional Mahogany (HLPLRS3624.LTM1)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,2637966,"Offices To Go Superior Laminate 48"" Return Shell - Reversible, Autumn Walnut Laminate"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24493078,"MooreCo Hierarchy 58"" Storage Shelf, Cool Gray, 2/Pack (91699)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24443167,"Offices To Go Superior 71""W Hutch Door, American Dark Cherry (TDSL71LDRADC)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24443154,"Offices To Go Superior 60""W Desktop Hutch Door, Autumn Walnut (TDSL60LDRAWL)"
Furniture,Desks,Desk Components & Hutches,Desk Components,Desk Components,24455252,"Offices To Go Superior 48"" Return Shell, Artisan Gray (TDSL4820RAML)"
